service_id,date,exception_type
Other-32,20250428,1
Other-32,20250429,1
Other-32,20250430,1
Other-32,20250501,1
Other-32,20250502,1
Other-32,20250503,1
Other-32,20250504,1
Other-33,20250406,1
Other-34,20250408,1
Other-34,20250409,1
Other-34,20250410,1
Other-4,20250412,1
Other-4,20250413,1
Other-4,20250414,1
Other-4,20250415,1
Other-4,20250416,1
Other-4,20250417,1
Other-4,20250418,1
Other-4,20250419,1
Other-4,20250420,1
Other-4,20250421,1
Other-4,20250422,1
Other-4,20250423,1
Other-4,20250424,1
Other-4,20250425,1
Other-4,20250426,1
Other-4,20250427,1
Other-5,20250403,1
Other-6,20250330,1
Other-6,20250406,1
Other-7,20250412,1
Other-7,20250419,1
Other-7,20250426,1
Other-8,20250330,1
Other-8,20250403,1
Other-8,20250406,1
Other-9,20250401,1
Saturday-2,20250412,2
Saturday-2,20250419,2
Saturday-2,20250426,2
Saturday-3,20250329,2
Saturday-3,20250412,2
Saturday-3,20250419,2
Saturday-3,20250426,2
Sunday-1,20250418,1
Sunday-1,20250421,1
Sunday-1,20250425,1
Sunday-1,20250602,1
Sunday-2,20250406,2
Sunday-2,20250420,2
Sunday-2,20250504,2
Sunday-2,20250601,2
Sunday-2,20250608,2
Sunday-3,20250421,1
Sunday-3,20250602,1
Sunday-3,20250420,2
Sunday-4,20250602,1
Sunday-4,20250413,2
Sunday-4,20250420,2
Sunday-4,20250427,2
Sunday-5,20250602,1
Sunday-5,20250330,2
Sunday-5,20250406,2
Sunday-5,20250413,2
Sunday-5,20250420,2
Sunday-5,20250427,2
Thursday-2,20250328,1
Thursday-2,20250404,1
Thursday-2,20250411,1
Thursday-2,20250502,1
Thursday-2,20250509,1
Thursday-2,20250516,1
Thursday-2,20250523,1
Thursday-2,20250530,1
Thursday-2,20250606,1
Thursday-2,20250613,1
Thursday-2,20250417,2
Thursday-2,20250424,2
Tuesday-1,20250331,1
Tuesday-1,20250407,1
Tuesday-1,20250414,1
Tuesday-1,20250428,1
Tuesday-1,20250505,1
Tuesday-1,20250512,1
Tuesday-1,20250519,1
Tuesday-1,20250526,1
Tuesday-1,20250609,1
Tuesday-1,20250616,1
Wednesday-1,20250404,1
Wednesday-1,20250425,1
Wednesday-1,20250502,1
Wednesday-1,20250516,1
Wednesday-1,20250606,1
Wednesday-2,20250421,1
Wednesday-2,20250425,1
Wednesday-2,20250516,1
Wednesday-4,20250327,1
Wednesday-4,20250403,1
Wednesday-4,20250410,1
Wednesday-4,20250417,1
Wednesday-4,20250424,1
Wednesday-4,20250501,1
Wednesday-4,20250508,1
Wednesday-4,20250515,1
Wednesday-4,20250522,1
Wednesday-4,20250529,1
Wednesday-4,20250605,1
Wednesday-4,20250612,1
Weekday-1,20250418,2
Weekday-1,20250421,2
Weekday-1,20250425,2
Weekday-1,20250602,2
Weekday-10,20250325,2
Weekday-10,20250326,2
Weekday-10,20250327,2
Weekday-10,20250401,2
Weekday-10,20250402,2
Weekday-10,20250407,2
Weekday-10,20250408,2
Weekday-10,20250409,2
Weekday-10,20250410,2
Weekday-10,20250414,2
Weekday-10,20250415,2
Weekday-10,20250416,2
Weekday-10,20250417,2
Weekday-10,20250418,2
Weekday-10,20250421,2
Weekday-10,20250422,2
Weekday-10,20250423,2
Weekday-10,20250424,2
Weekday-10,20250425,2
Weekday-10,20250602,2
Weekday-11,20250325,2
Weekday-11,20250326,2
Weekday-11,20250327,2
Weekday-11,20250401,2
Weekday-11,20250408,2
Weekday-11,20250409,2
Weekday-11,20250410,2
Weekday-11,20250414,2
Weekday-11,20250415,2
Weekday-11,20250416,2
Weekday-11,20250417,2
Weekday-11,20250418,2
Weekday-11,20250421,2
Weekday-11,20250422,2
Weekday-11,20250423,2
Weekday-11,20250424,2
Weekday-11,20250425,2
Weekday-11,20250602,2
Weekday-12,20250331,2
Weekday-12,20250407,2
Weekday-12,20250414,2
Weekday-12,20250415,2
Weekday-12,20250416,2
Weekday-12,20250417,2
Weekday-12,20250418,2
Weekday-12,20250421,2
Weekday-12,20250422,2
Weekday-12,20250423,2
Weekday-12,20250424,2
Weekday-12,20250425,2
Weekday-12,20250602,2
Weekday-13,20250331,2
Weekday-13,20250403,2
Weekday-13,20250407,2
Weekday-13,20250414,2
Weekday-13,20250415,2
Weekday-13,20250416,2
Weekday-13,20250417,2
Weekday-13,20250418,2
Weekday-13,20250421,2
Weekday-13,20250422,2
Weekday-13,20250423,2
Weekday-13,20250424,2
Weekday-13,20250425,2
Weekday-13,20250602,2
Weekday-14,20250331,2
Weekday-14,20250414,2
Weekday-14,20250415,2
Weekday-14,20250416,2
Weekday-14,20250417,2
Weekday-14,20250418,2
Weekday-14,20250421,2
Weekday-14,20250422,2
Weekday-14,20250423,2
Weekday-14,20250424,2
Weekday-14,20250425,2
Weekday-14,20250602,2
Weekday-15,20250325,2
Weekday-15,20250326,2
Weekday-15,20250327,2
Weekday-15,20250328,2
Weekday-15,20250331,2
Weekday-15,20250401,2
Weekday-15,20250402,2
Weekday-15,20250403,2
Weekday-15,20250404,2
Weekday-15,20250407,2
Weekday-15,20250408,2
Weekday-15,20250409,2
Weekday-15,20250410,2
Weekday-15,20250411,2
Weekday-15,20250414,2
Weekday-15,20250415,2
Weekday-15,20250416,2
Weekday-15,20250417,2
Weekday-15,20250418,2
Weekday-15,20250421,2
Weekday-15,20250422,2
Weekday-15,20250423,2
Weekday-15,20250424,2
Weekday-15,20250425,2
Weekday-15,20250602,2
Weekday-2,20250414,2
Weekday-2,20250415,2
Weekday-2,20250416,2
Weekday-2,20250417,2
Weekday-2,20250418,2
Weekday-2,20250421,2
Weekday-2,20250422,2
Weekday-2,20250423,2
Weekday-2,20250424,2
Weekday-2,20250425,2
Weekday-2,20250602,2
Weekday-3,20250403,2
Weekday-3,20250414,2
Weekday-3,20250415,2
Weekday-3,20250416,2
Weekday-3,20250417,2
Weekday-3,20250418,2
Weekday-3,20250421,2
Weekday-3,20250422,2
Weekday-3,20250423,2
Weekday-3,20250424,2
Weekday-3,20250425,2
Weekday-3,20250602,2
Weekday-4,20250403,2
Weekday-4,20250407,2
Weekday-4,20250414,2
Weekday-4,20250415,2
Weekday-4,20250416,2
Weekday-4,20250417,2
Weekday-4,20250418,2
Weekday-4,20250421,2
Weekday-4,20250422,2
Weekday-4,20250423,2
Weekday-4,20250424,2
Weekday-4,20250425,2
Weekday-4,20250602,2
Weekday-5,20250331,2
Weekday-5,20250403,2
Weekday-5,20250414,2
Weekday-5,20250415,2
Weekday-5,20250416,2
Weekday-5,20250417,2
Weekday-5,20250418,2
Weekday-5,20250421,2
Weekday-5,20250422,2
Weekday-5,20250423,2
Weekday-5,20250424,2
Weekday-5,20250425,2
Weekday-5,20250602,2
Weekday-6,20250407,2
Weekday-6,20250414,2
Weekday-6,20250415,2
Weekday-6,20250416,2
Weekday-6,20250417,2
Weekday-6,20250418,2
Weekday-6,20250421,2
Weekday-6,20250422,2
Weekday-6,20250423,2
Weekday-6,20250424,2
Weekday-6,20250425,2
Weekday-6,20250602,2
Weekday-7,20250401,2
Weekday-7,20250402,2
Weekday-7,20250414,2
Weekday-7,20250415,2
Weekday-7,20250416,2
Weekday-7,20250417,2
Weekday-7,20250418,2
Weekday-7,20250421,2
Weekday-7,20250422,2
Weekday-7,20250423,2
Weekday-7,20250424,2
Weekday-7,20250425,2
Weekday-7,20250602,2
Weekday-8,20250325,2
Weekday-8,20250326,2
Weekday-8,20250327,2
Weekday-8,20250401,2
Weekday-8,20250402,2
Weekday-8,20250403,2
Weekday-8,20250407,2
Weekday-8,20250408,2
Weekday-8,20250409,2
Weekday-8,20250410,2
Weekday-8,20250414,2
Weekday-8,20250415,2
Weekday-8,20250416,2
Weekday-8,20250417,2
Weekday-8,20250418,2
Weekday-8,20250421,2
Weekday-8,20250422,2
Weekday-8,20250423,2
Weekday-8,20250424,2
Weekday-8,20250425,2
Weekday-8,20250602,2
Weekday-9,20250325,2
Weekday-9,20250326,2
Weekday-9,20250327,2
Weekday-9,20250401,2
Weekday-9,20250402,2
Weekday-9,20250408,2
Weekday-9,20250409,2
Weekday-9,20250410,2
Weekday-9,20250414,2
Weekday-9,20250415,2
Weekday-9,20250416,2
Weekday-9,20250417,2
Weekday-9,20250418,2
Weekday-9,20250421,2
Weekday-9,20250422,2
Weekday-9,20250423,2
Weekday-9,20250424,2
Weekday-9,20250425,2
Weekday-9,20250602,2
Weekend-1,20250418,1
Weekend-1,20250421,1
Weekend-1,20250425,1
Weekend-1,20250602,1
