service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Daily-1,1,1,1,1,1,1,1,20250325,20250616
ExSat-1,1,1,1,1,1,0,1,20250325,20250616
ExSun-1,1,1,1,1,1,1,0,20250325,20250616
ExSun-2,1,1,1,1,1,1,0,20250325,20250616
ExTue-1,1,0,1,1,1,1,1,20250325,20250616
FriSat-1,0,0,0,0,1,1,0,20250325,20250616
FriSat-2,0,0,0,0,1,1,0,20250325,20250616
Friday-1,0,0,0,0,1,0,0,20250325,20250616
Friday-2,0,0,0,0,1,0,0,20250325,20250616
Monday-1,1,0,0,0,0,0,0,20250325,20250403
Monday-2,1,0,0,0,0,0,0,20250325,20250403
Other-1,0,0,0,0,0,0,0,20250325,20250616
Other-10,0,0,0,0,0,0,0,20250325,20250403
Other-11,0,0,0,0,0,0,0,20250325,20250616
Other-12,0,0,0,0,0,0,0,20250325,20250403
Other-13,0,0,0,0,0,0,0,20250325,20250616
Other-14,0,0,0,0,0,0,0,20250325,20250616
Other-15,0,0,0,0,0,0,0,20250325,20250616
Other-16,0,0,0,0,0,0,0,20250325,20250616
Other-17,0,0,0,0,0,0,0,20250325,20250616
Other-18,0,0,0,0,0,0,0,20250325,20250616
Other-19,0,0,0,0,0,0,0,20250325,20250616
Other-2,0,0,0,0,0,0,0,20250325,20250616
Other-20,0,0,0,0,0,0,0,20250325,20250616
Other-21,0,0,0,0,0,0,0,20250325,20250616
Other-22,0,0,0,0,0,0,0,20250325,20250616
Other-23,0,0,0,0,0,0,0,20250325,20250616
Other-24,0,0,0,0,0,0,0,20250325,20250616
Other-25,0,0,0,0,0,0,0,20250325,20250616
Other-26,0,0,0,0,0,0,0,20250325,20250616
Other-27,0,0,0,0,0,0,0,20250325,20250616
Other-28,0,0,0,0,0,0,0,20250325,20250403
Other-29,0,0,0,0,0,0,0,20250325,20250616
Other-3,0,0,0,0,0,0,0,20250325,20250616
Other-30,0,0,0,0,0,0,0,20250325,20250616
Other-31,0,0,0,0,0,0,0,20250325,20250616
Other-32,0,0,0,0,0,0,0,20250325,20250616
Other-33,0,0,0,0,0,0,0,20250404,20250616
Other-34,0,0,0,0,0,0,0,20250404,20250616
Other-4,0,0,0,0,0,0,0,20250325,20250616
Other-5,0,0,0,0,0,0,0,20250325,20250403
Other-6,0,0,0,0,0,0,0,20250325,20250616
Other-7,0,0,0,0,0,0,0,20250325,20250616
Other-8,0,0,0,0,0,0,0,20250325,20250616
Other-9,0,0,0,0,0,0,0,20250325,20250403
Saturday-1,0,0,0,0,0,1,0,20250325,20250616
Saturday-2,0,0,0,0,0,1,0,20250325,20250616
Saturday-3,0,0,0,0,0,1,0,20250325,20250616
Saturday-4,0,0,0,0,0,1,0,20250325,20250403
Sunday-1,0,0,0,0,0,0,1,20250325,20250616
Sunday-2,0,0,0,0,0,0,1,20250325,20250616
Sunday-3,0,0,0,0,0,0,1,20250325,20250616
Sunday-4,0,0,0,0,0,0,1,20250325,20250616
Sunday-5,0,0,0,0,0,0,1,20250325,20250616
Sunday-6,0,0,0,0,0,0,1,20250325,20250403
Thursday-1,0,0,0,1,0,0,0,20250325,20250616
Thursday-2,0,0,0,1,0,0,0,20250325,20250616
Tuesday-1,0,1,0,0,0,0,0,20250325,20250616
Tuesday-2,0,1,0,0,0,0,0,20250325,20250616
Wednesday-1,0,0,1,0,0,0,0,20250325,20250616
Wednesday-2,0,0,1,0,0,0,0,20250325,20250616
Wednesday-3,0,0,1,0,0,0,0,20250325,20250616
Wednesday-4,0,0,1,0,0,0,0,20250325,20250616
Weekday-1,1,1,1,1,1,0,0,20250325,20250616
Weekday-10,1,1,1,1,1,0,0,20250325,20250616
Weekday-11,1,1,1,1,1,0,0,20250325,20250616
Weekday-12,1,1,1,1,1,0,0,20250325,20250616
Weekday-13,1,1,1,1,1,0,0,20250325,20250616
Weekday-14,1,1,1,1,1,0,0,20250325,20250616
Weekday-15,1,1,1,1,1,0,0,20250325,20250616
Weekday-2,1,1,1,1,1,0,0,20250325,20250616
Weekday-3,1,1,1,1,1,0,0,20250325,20250616
Weekday-4,1,1,1,1,1,0,0,20250325,20250616
Weekday-5,1,1,1,1,1,0,0,20250325,20250616
Weekday-6,1,1,1,1,1,0,0,20250325,20250616
Weekday-7,1,1,1,1,1,0,0,20250325,20250616
Weekday-8,1,1,1,1,1,0,0,20250325,20250616
Weekday-9,1,1,1,1,1,0,0,20250325,20250616
Weekend-1,0,0,0,0,0,1,1,20250325,20250616
Weekend-2,0,0,0,0,0,1,1,20250325,20250616
WkExFri-1,1,1,1,1,0,0,0,20250325,20250616
WkExFri-2,1,1,1,1,0,0,0,20250325,20250616
WkExFri-3,1,1,1,1,0,0,0,20250325,20250616
WkExWed-1,1,1,0,1,1,0,0,20250325,20250616
